LOB,origin,valuation,development,IncurLoss,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet
comauto,1/1/1988,12/31/1988,12,600839,154058,182604,1099729,186093,913636
comauto,1/1/1988,12/31/1989,24,632654,326916,90656,1099729,186093,913636
comauto,1/1/1988,12/31/1990,36,645663,447963,54262,1099729,186093,913636
comauto,1/1/1988,12/31/1991,48,646526,528167,27431,1099729,186093,913636
comauto,1/1/1988,12/31/1992,60,642177,574471,14819,1099729,186093,913636
comauto,1/1/1988,12/31/1993,72,639764,599428,8007,1099729,186093,913636
comauto,1/1/1988,12/31/1994,84,634631,613573,3755,1099729,186093,913636
comauto,1/1/1988,12/31/1995,96,631044,619616,1633,1099729,186093,913636
comauto,1/1/1988,12/31/1996,108,629857,621956,1298,1099729,186093,913636
comauto,1/1/1988,12/31/1997,120,629146,626097,918,1099729,186093,913636
comauto,1/1/1989,12/31/1989,12,676688,173856,228252,1175712,211450,964262
comauto,1/1/1989,12/31/1990,24,694520,357652,108215,1175712,211450,964262
comauto,1/1/1989,12/31/1991,36,703946,488306,56767,1175712,211450,964262
comauto,1/1/1989,12/31/1992,48,704996,569371,36155,1175712,211450,964262
comauto,1/1/1989,12/31/1993,60,695533,624655,16453,1175712,211450,964262
comauto,1/1/1989,12/31/1994,72,689237,648988,8250,1175712,211450,964262
comauto,1/1/1989,12/31/1995,84,684654,662268,4051,1175712,211450,964262
comauto,1/1/1989,12/31/1996,96,681943,668959,2635,1175712,211450,964262
comauto,1/1/1989,12/31/1997,108,679999,674441,1489,1175712,211450,964262
comauto,1/1/1990,12/31/1990,12,741423,181888,270255,1278239,224216,1054021
comauto,1/1/1990,12/31/1991,24,751063,391331,126801,1278239,224216,1054021
comauto,1/1/1990,12/31/1992,36,748965,527129,60451,1278239,224216,1054021
comauto,1/1/1990,12/31/1993,48,747312,616793,31105,1278239,224216,1054021
comauto,1/1/1990,12/31/1994,60,743549,667426,16154,1278239,224216,1054021
comauto,1/1/1990,12/31/1995,72,739173,698277,9015,1278239,224216,1054021
comauto,1/1/1990,12/31/1996,84,732767,712917,5828,1278239,224216,1054021
comauto,1/1/1990,12/31/1997,96,731394,718396,3686,1278239,224216,1054021
comauto,1/1/1991,12/31/1991,12,757620,179520,272932,1359390,236436,1122954
comauto,1/1/1991,12/31/1992,24,768456,381993,138027,1359390,236436,1122954
comauto,1/1/1991,12/31/1993,36,766137,522324,73463,1359390,236436,1122954
comauto,1/1/1991,12/31/1994,48,755428,613352,34328,1359390,236436,1122954
comauto,1/1/1991,12/31/1995,60,749200,672472,18926,1359390,236436,1122954
comauto,1/1/1991,12/31/1996,72,739830,698335,10300,1359390,236436,1122954
comauto,1/1/1991,12/31/1997,84,735818,711762,5061,1359390,236436,1122954
comauto,1/1/1992,12/31/1992,12,809703,181066,288430,1410974,240705,1170269
comauto,1/1/1992,12/31/1993,24,811170,403957,143618,1410974,240705,1170269
comauto,1/1/1992,12/31/1994,36,801484,548391,74679,1410974,240705,1170269
comauto,1/1/1992,12/31/1995,48,784457,648274,32531,1410974,240705,1170269
comauto,1/1/1992,12/31/1996,60,775180,706559,18922,1410974,240705,1170269
comauto,1/1/1992,12/31/1997,72,772221,731033,11373,1410974,240705,1170269
comauto,1/1/1993,12/31/1993,12,862399,215436,309266,1456188,242507,1213680
comauto,1/1/1993,12/31/1994,24,846249,440324,141478,1456188,242507,1213680
comauto,1/1/1993,12/31/1995,36,851380,596185,76132,1456188,242507,1213680
comauto,1/1/1993,12/31/1996,48,837554,707671,36332,1456188,242507,1213680
comauto,1/1/1993,12/31/1997,60,834085,762039,21565,1456188,242507,1213680
comauto,1/1/1994,12/31/1994,12,934383,249231,318544,1586778,276991,1309786
comauto,1/1/1994,12/31/1995,24,913211,490657,140593,1586778,276991,1309786
comauto,1/1/1994,12/31/1996,36,912161,662138,75803,1586778,276991,1309786
comauto,1/1/1994,12/31/1997,48,915216,768095,38487,1586778,276991,1309786
comauto,1/1/1995,12/31/1995,12,958551,258839,324469,1608239,271990,1336249
comauto,1/1/1995,12/31/1996,24,943200,511937,154935,1608239,271990,1336249
comauto,1/1/1995,12/31/1997,36,928820,675166,82017,1608239,271990,1336249
comauto,1/1/1996,12/31/1996,12,921853,271565,310802,1601646,243381,1358266
comauto,1/1/1996,12/31/1997,24,904893,510191,134646,1601646,243381,1358266
comauto,1/1/1997,12/31/1997,12,919646,272342,304179,1620108,250275,1369835
medmal,1/1/1988,12/31/1988,12,380154,5934,239361,440469,35981,404488
medmal,1/1/1988,12/31/1989,24,345134,47258,109342,440469,35981,404488
medmal,1/1/1988,12/31/1990,36,323223,95054,67889,440469,35981,404488
medmal,1/1/1988,12/31/1991,48,308583,131616,42097,440469,35981,404488
medmal,1/1/1988,12/31/1992,60,297226,165117,26590,440469,35981,404488
medmal,1/1/1988,12/31/1993,72,273187,181937,18567,440469,35981,404488
medmal,1/1/1988,12/31/1994,84,260387,198395,9261,440469,35981,404488
medmal,1/1/1988,12/31/1995,96,240810,206068,518,440469,35981,404488
medmal,1/1/1988,12/31/1996,108,241022,213374,722,440469,35981,404488
medmal,1/1/1988,12/31/1997,120,236376,217239,-3158,440469,35981,404488
medmal,1/1/1989,12/31/1989,12,363266,9433,169589,476358,74256,402102
medmal,1/1/1989,12/31/1990,24,364326,51855,113421,476358,74256,402102
medmal,1/1/1989,12/31/1991,36,352822,98976,86181,476358,74256,402102
medmal,1/1/1989,12/31/1992,48,328256,149169,49311,476358,74256,402102
medmal,1/1/1989,12/31/1993,60,297773,175588,29113,476358,74256,402102
medmal,1/1/1989,12/31/1994,72,279108,197590,15247,476358,74256,402102
medmal,1/1/1989,12/31/1995,84,265990,211242,11888,476358,74256,402102
medmal,1/1/1989,12/31/1996,96,254703,217986,3780,476358,74256,402102
